,address,coef,street
21445,1-й_Амбулаторный_проезд_7кБ,0.54528,1-й_Амбулаторный_проезд
19611,1-й_Амбулаторный_проезд_5к1,1.31406,1-й_Амбулаторный_проезд
1415,1-й_Амбулаторный_проезд_5к2,1.33917,1-й_Амбулаторный_проезд
17092,1-й_Амбулаторный_проезд_вл2-6,0.199758,1-й_Амбулаторный_проезд
14455,1-й_Амбулаторный_проезд_7к3,1.34743,1-й_Амбулаторный_проезд
16173,1-й_Амбулаторный_проезд_7кА,0.654234,1-й_Амбулаторный_проезд
6944,1-й_Балтийский_переулок_3/25,1.56849,1-й_Балтийский_переулок
16843,1-й_Балтийский_переулок_4,0.875331,1-й_Балтийский_переулок
12511,1-й_Басманный_переулок_5/20с1,1.2997,1-й_Басманный_переулок
20642,1-й_Басманный_переулок_4,0.892997,1-й_Басманный_переулок
9538,1-й_Басманный_переулок_12,2.16148,1-й_Басманный_переулок
13915,1-й_Басманный_переулок_5/20с2,1.23802,1-й_Басманный_переулок
1515,1-й_Басманный_переулок_5/20с3,-0.344913,1-й_Басманный_переулок
11375,1-й_Ботанический_проезд_3,-0.814873,1-й_Ботанический_проезд
19229,1-й_Ботанический_проезд_5,-0.194034,1-й_Ботанический_проезд
14121,1-й_Ботанический_проезд_3А,-2.80611,1-й_Ботанический_проезд
767,1-й_Ботанический_проезд_1,-1.7009,1-й_Ботанический_проезд
16029,1-й_Боткинский_проезд_2/6,1.46005,1-й_Боткинский_проезд
20161,1-й_Боткинский_проезд_4,1.05089,1-й_Боткинский_проезд
21108,1-й_Боткинский_проезд_6,0.862319,1-й_Боткинский_проезд
6541,1-й_Вешняковский_проезд_8,-1.60428,1-й_Вешняковский_проезд
10255,1-й_Войковский_проезд_14,-0.707965,1-й_Войковский_проезд
24475,1-й_Войковский_проезд_16к1,-0.25981,1-й_Войковский_проезд
17266,1-й_Войковский_проезд_16к3,-1.90817,1-й_Войковский_проезд
5458,1-й_Войковский_проезд_6к2,-0.0473429,1-й_Войковский_проезд
13254,1-й_Войковский_проезд_12,-0.685105,1-й_Войковский_проезд
25188,1-й_Войковский_проезд_4к1,-1.09021,1-й_Войковский_проезд
3780,1-й_Войковский_проезд_4к2,-2.76096,1-й_Войковский_проезд
15343,1-й_Войковский_проезд_10,-0.821388,1-й_Войковский_проезд
14587,1-й_Войковский_проезд_16А,-0.488099,1-й_Войковский_проезд
19579,1-й_Войковский_проезд_16к2,-0.289542,1-й_Войковский_проезд
7526,1-й_Войковский_проезд_14Б,-1.25334,1-й_Войковский_проезд
14404,1-й_Войковский_проезд_6к1,-0.904803,1-й_Войковский_проезд
10250,1-й_Волконский_переулок_15,2.44002,1-й_Волконский_переулок
6155,1-й_Волоколамский_проезд_7к4,-0.549117,1-й_Волоколамский_проезд
25202,1-й_Волоколамский_проезд_8к2,-1.77015,1-й_Волоколамский_проезд
6551,1-й_Волоколамский_проезд_13,-1.27623,1-й_Волоколамский_проезд
21492,1-й_Волоколамский_проезд_11к2,-1.1657,1-й_Волоколамский_проезд
11186,1-й_Волоколамский_проезд_2,-1.45733,1-й_Волоколамский_проезд
482,1-й_Волоколамский_проезд_5,-1.45873,1-й_Волоколамский_проезд
26221,1-й_Волоколамский_проезд_7к1,-2.02247,1-й_Волоколамский_проезд
131,1-й_Волоколамский_проезд_15/16,-0.920573,1-й_Волоколамский_проезд
22105,1-й_Волоколамский_проезд_6к2,-1.15745,1-й_Волоколамский_проезд
17144,1-й_Волоколамский_проезд_11к3,-1.35642,1-й_Волоколамский_проезд
21547,1-й_Волоколамский_проезд_4,-1.18805,1-й_Волоколамский_проезд
14329,1-й_Волоколамский_проезд_8к1,-1.76553,1-й_Волоколамский_проезд
23097,1-й_Волоколамский_проезд_7к2,-1.43814,1-й_Волоколамский_проезд
9710,1-й_Волоколамский_проезд_6к1,-1.28244,1-й_Волоколамский_проезд
6143,1-й_Волоколамский_проезд_7к3,-1.45281,1-й_Волоколамский_проезд
22294,1-й_Волоколамский_проезд_11к1,-1.16646,1-й_Волоколамский_проезд
20020,1-й_Вражский_переулок_4,2.23012,1-й_Вражский_переулок
2548,1-й_Голутвинский_переулок_7,2.40131,1-й_Голутвинский_переулок
13064,1-й_Гончарный_переулок_7,1.84311,1-й_Гончарный_переулок
26287,1-й_Грайвороновский_проезд_9,-1.51996,1-й_Грайвороновский_проезд
21645,1-й_Грайвороновский_проезд_7,-1.17144,1-й_Грайвороновский_проезд
7062,1-й_Грайвороновский_проезд_6,-1.22505,1-й_Грайвороновский_проезд
21482,1-й_Грайвороновский_проезд_9А,-0.525514,1-й_Грайвороновский_проезд
12045,1-й_Добрынинский_переулок_8,3.58619,1-й_Добрынинский_переулок
21987,1-й_Зачатьевский_переулок_10,2.22471,1-й_Зачатьевский_переулок
17,1-й_Зачатьевский_переулок_4,0.949023,1-й_Зачатьевский_переулок
8603,1-й_Зачатьевский_переулок_5,6.34849,1-й_Зачатьевский_переулок
19707,1-й_Зачатьевский_переулок_8с1,0.954524,1-й_Зачатьевский_переулок
11649,1-й_Зачатьевский_переулок_6с1,2.90286,1-й_Зачатьевский_переулок
8956,1-й_Зачатьевский_переулок_13,1.6179,1-й_Зачатьевский_переулок
14236,1-й_Зборовский_переулок_11,-1.90686,1-й_Зборовский_переулок
5035,1-й_Зборовский_переулок_13,-1.9556,1-й_Зборовский_переулок
18755,1-й_Зборовский_переулок_15,-1.77736,1-й_Зборовский_переулок
5361,1-й_Зборовский_переулок_17,-1.96551,1-й_Зборовский_переулок
10090,1-й_Институтский_проезд_14,-1.96709,1-й_Институтский_проезд
23056,1-й_Институтский_проезд_6,-1.49447,1-й_Институтский_проезд
5833,1-й_Институтский_проезд_4/2,-1.58646,1-й_Институтский_проезд
15948,1-й_Институтский_проезд_8,-0.909808,1-й_Институтский_проезд
7559,1-й_Институтский_проезд_2,-1.73171,1-й_Институтский_проезд
25588,1-й_Казачий_переулок_8с1,0.854323,1-й_Казачий_переулок
3891,1-й_Кирпичный_переулок_15,-0.590123,1-й_Кирпичный_переулок
4670,1-й_Кирпичный_переулок_22,-1.11003,1-й_Кирпичный_переулок
4476,1-й_Кирпичный_переулок_14,-2.15232,1-й_Кирпичный_переулок
8113,1-й_Кирпичный_переулок_26,-1.75074,1-й_Кирпичный_переулок
20685,1-й_Кирпичный_переулок_19,-1.3199,1-й_Кирпичный_переулок
6650,1-й_Кирпичный_переулок_17,-2.36701,1-й_Кирпичный_переулок
9360,1-й_Кожуховский_проезд_11,-2.7333,1-й_Кожуховский_проезд
